delay,units,,,,,train mse,val mse
6,9,,,,,0.00731436989998399,0.00788866570142803
7,1,,,,,0.00742687505337454,0.00769071742171562
20,10,2,,,,0.00748705818926652,0.00710421679028573
17,3,7,10,,,0.00750638541255519,0.00727985592962622
18,10,10,1,3,5,0.00730172220292137,0.00782120629648494
16,10,6,8,4,,0.00735338028913918,0.00756998849277213
11,3,,,,,0.00700883326058272,0.00750561961810663
9,5,10,8,,,0.00740017766420376,0.00744025950253148
17,3,2,,,,0.0073560202980862,0.00754603949044092
8,9,1,4,,,0.00751310221409396,0.00741482591014952
15,4,2,,,,0.00732273015940051,0.00754797278909947
19,6,1,,,,0.00742162484464846,0.00723384152794111
16,1,,,,,0.00742117193388654,0.00743024494895516
5,3,8,3,6,4,0.00747312839754096,0.00758208263537083
18,6,10,,,,0.00749354693059566,0.00732931270977494
9,9,6,8,1,,0.00744593832451455,0.00745281603156277
11,10,2,7,10,,0.00733636958041336,0.0069506653962319
12,1,,,,,0.00726533447221636,0.00777571184985675
3,4,2,,,,0.00747173600696129,0.00728022157802291
10,2,8,4,5,1,0.00446287530275183,0.00462123237210379
5,1,5,3,1,,0.00744805625581406,0.00745851717502314
3,5,4,7,10,,0.00735944730548415,0.00788975317911771
8,8,2,2,4,9,0.00734086951227936,0.00741047268817668
10,9,4,,,,0.00464692620342175,0.00465575646942889
6,10,10,,,,0.00729374595153902,0.00794766547304821
16,10,6,6,7,,0.00718138330282016,0.00823928356349395
12,8,,,,,0.00735438952854874,0.00763121662136069
1,1,10,,,,0.00470493220073969,0.0043551857799181
17,2,9,,,,0.00744276827855277,0.00736270320001737
11,2,6,8,3,6,0.00729570098377467,0.00687641370629755
18,9,,,,,0.00744338582723825,0.00717976706872548
20,10,10,7,9,1,0.00743841337508975,0.00728819736325824
15,8,1,3,4,,0.00744540338333175,0.00698895337696226
3,9,,,,,0.00739793047949272,0.00711407164216498
12,8,10,10,4,4,0.00744995159133786,0.00696487283903125
5,2,,,,,0.00744088474943127,0.0073394789105549
12,5,,,,,0.00739379189457512,0.00730377635416436
12,4,6,7,,,0.00740347024410705,0.00751500829814992
14,6,9,3,,,0.00741511685797176,0.0074142879411112
13,6,10,7,10,,0.00743182683720673,0.00733442383970366
17,8,5,1,,,0.00743775809427008,0.00685615508777591
19,6,9,9,9,,0.00722153893276318,0.00783905180257249
6,4,,,,,0.00756913355139007,0.00733833959148263
7,7,,,,,0.00739306013449268,0.00765522969445299
14,5,4,5,4,,0.00731582116219327,0.00765785865015941
13,6,4,8,4,,0.00739152899844458,0.0075425457028886
2,9,10,9,,,0.00728722765582283,0.00719860382936973
7,7,9,,,,0.00749378054566734,0.00732671063009953
