sparsity,reservoir,ro,input_scale,ridge penalty,train mse,val mse
0.5,385,0.1,0.7,2.6,0.0229905433970691,0.0235376770197586
0.2,307,0.5,0.6,5.1,0.00891667983005928,0.00939268137770416
0.9,366,0.7,0.4,7.4,0.0075085273315576,0.0079179569099363
0.6,415,0.2,0.3,9.2,0.0257613466561718,0.0259342644581104
0.9,399,0.5,0.7,8.9,0.0104356696780133,0.0108854197143711
0.8,612,0.9,1,8.8,0.0056130525154975,0.00590750280168603
0.6,516,0.7,0.3,6.3,0.00754894031317273,0.00796180333361838
0.8,281,1,0.6,0.6,0.00622832732823387,0.00641462406106804
0.5,618,0.2,1,0.9,0.00987994922772988,0.0102738938984635
0.4,259,0.9,0.5,5.3,0.00571532296805319,0.00601772735523316
1,254,0.1,0.9,6.4,0.0246977385928387,0.0252370959699359
0.8,68,0.5,0.5,7.8,0.0113976421702142,0.0118416592953016
0.7,851,0.6,0.8,6.3,0.00641147742068081,0.00682072508975623
0.4,21,0.4,0.4,3.7,0.0124780717914427,0.0129516704205794
0.6,969,0.9,0.5,3.9,0.00567776412685797,0.00597930617404098
0.7,402,0.8,1,7.5,0.00538345377165087,0.00571871274860032
0.9,770,0.3,0.8,9.8,0.0177184877716455,0.0182019984909512
0.4,692,0.4,0.4,2.6,0.0117022601914743,0.0121778136178863
0.5,589,0.9,0.7,6.4,0.00567008720407409,0.00596943827453847
0.6,84,0.8,0.9,6.9,0.0053545959850683,0.00568251953451086
0.8,934,0.2,0.9,8.5,0.0203319294856998,0.0208419530414688
1,187,0.6,0.1,9.3,0.0406177708479361,0.039873074952538
1,346,0.5,0.7,2.8,0.00738166193268309,0.0077885303442161
0.3,402,0.8,0.4,3,0.00568570079617588,0.0060451832628154
0.8,305,0.6,0.7,8.2,0.00729232772863743,0.00771932830417225
1,632,0.1,0.3,3.2,0.0263000025173329,0.0267054005985765
0.9,812,0.3,0.1,5.4,0.0449686761354897,0.0441992375559182
1,240,0.3,0.9,8.4,0.0168449088445057,0.0173292609974813
